번호,요구사항ID,대상,채널,대분류,세부기능,기능명,기능 설명,A/B 통합,우선순위,구현단계,수용기준,예외/비고,원본참조
38,U-038,고객,PC/모바일,마이페이지,주문,이전 구매 내역,"과거 주문 이력, 결제금액, 주문상태, 영수증을 조회한다.",A: 목록 조회 / B: 상세 조회,P2,3차,사용자는 본인의 주문만 조회할 수 있다.,비회원 주문조회는 주문번호+인증값 필요,원본 21
39,U-039,고객,PC/모바일,마이페이지,장바구니,저장 장바구니,로그인 사용자의 장바구니를 서버에 저장하고 재접속 시 복원한다.,A: 키오스크 일회성 / B: PC·모바일 저장형,P2,3차,동일 회원이 다시 접속해도 담아둔 상품이 유지된다.,품절/가격 변경 시 안내,원본 20
40,U-040,고객,PC/모바일,주문,배달,배달 주문,주소 기반으로 배달 가능 매장을 찾고 배달 주문을 생성한다.,A: 포장/픽업 / B: 배달,P2,3차,배달 불가 지역이면 주문 진행이 차단된다.,키오스크에는 표시하지 않음,원본 16
41,U-041,고객,PC/모바일,주문,배달,배달 상태 조회,"접수, 제조중, 배달중, 배달완료 상태를 표시한다.",A: 매장 픽업 상태 / B: 배달 상태,P2,3차,지점 또는 배달 관리자가 상태를 변경하면 사용자 화면에 반영된다.,실시간까지는 아니어도 새로고침 기반 가능,원본 16
42,U-042,고객,PC/모바일,매장,찾기,가까운 지점 찾기,"지도 또는 주소 검색으로 가까운 지점, 영업시간, 전화번호, 배달 가능 여부를 확인한다.",A: 목록 / B: 지도,P2,3차,선택한 지점 기준으로 주문 가능한 메뉴와 운영 상태가 표시된다.,지도 API 연동 가능,원본 35 보완
43,U-043,고객,PC/모바일,문의,고객센터,고객 문의,"사용자가 주문, 결제, 환불, 매장 관련 문의를 작성한다.",A: 일반 문의 / B: 주문 연결 문의,P2,3차,문의 등록 시 담당 지점 또는 본점에 문의가 배정된다.,매장과의 연락 기능 확장,원본 22
44,U-044,고객,PC/모바일,회원,탈퇴,회원 탈퇴,사용자가 회원 탈퇴를 요청하고 개인정보 보관 정책에 따라 비활성화 또는 삭제한다.,A: 비활성화 / B: 완전 삭제,P2,3차,탈퇴 후 로그인 불가 상태가 되며 보관 의무 데이터는 별도 처리된다.,주문/결제 기록은 법적 보관 가능,원본 24
45,B-045,지점 관리자,관리자 웹,계정,로그인,지점 관리자 로그인,본점이 발급한 지점 계정으로 관리자 페이지에 로그인한다.,A: 수동 로그인 / B: 자동 로그인 유지,P0,1차,권한이 지점 관리자일 때만 지점 관리 메뉴에 접근한다.,원본의 자동 로그인은 보안상 선택 기능으로 분리,원본 40
46,B-046,지점 관리자,관리자 웹,계정,권한,직원 권한 분리,"지점장, 직원, 제조 담당, 배달 담당 등 역할별 접근 메뉴를 제한한다.",A: 관리자 / B: 직원,P1,2차,직원 계정은 매출/개인정보 등 민감 메뉴에 접근하지 못한다.,고용 기능과 연결,"원본 47, 48 보완"
47,B-047,지점 관리자,관리자 웹,키오스크,장치,키오스크 장치 등록,"지점에 설치된 키오스크 장치ID, 위치, 상태를 등록한다.",A: 신규 등록 / B: 장치 비활성화,P1,2차,등록된 장치만 주문 API를 호출할 수 있다.,장치 인증/보안과 연결,추가
48,B-048,지점 관리자,관리자 웹,키오스크,상태,키오스크 상태 모니터링,"네트워크, 결제단말기, 프린터, 앱 버전, 마지막 접속 시간을 확인한다.",A: 정상 / B: 장애,P1,2차,장애 상태가 감지되면 관리자 화면에 알림이 표시된다.,운영 안정성,추가
49,B-049,지점 관리자,관리자 웹,주문,접수,실시간 주문 접수,키오스크/PC/모바일에서 들어온 주문을 한 화면에서 확인한다.,A: 키오스크 주문 / B: 온라인 주문,P0,1차,결제 완료 주문만 제조 대기 목록에 표시된다.,주문관리 핵심,원본 42
50,B-050,지점 관리자,관리자 웹,주문,상태,주문 상태 변경,"접수, 제조중, 픽업대기, 완료, 취소 상태를 변경한다.",A: 제조 상태 / B: 취소·환불 상태,P0,1차,상태 변경 시 고객 화면과 주문 이력에 반영된다.,상태 변경자 로그 저장,"원본 42, 46"
51,B-051,지점 관리자,관리자 웹,주문,상세,주문 상세 확인,"주문번호, 메뉴, 옵션, 수량, 결제금액, 요청사항, 이용방식을 확인한다.",A: 요약 보기 / B: 상세 보기,P0,1차,주문 상세에서 제조에 필요한 옵션 정보가 누락 없이 표시된다.,영수증/주문번호 기능 확장,원본 42
52,B-052,지점 관리자,관리자 웹,주문,취소/환불,주문 취소/환불 처리,결제 완료 주문의 취소 또는 환불을 권한 있는 관리자가 처리한다.,A: 전체 취소 / B: 부분 취소,P1,2차,환불 처리 결과가 결제 내역과 주문 상태에 함께 반영된다.,PG 환불 API와 연동,추가
53,B-053,지점 관리자,관리자 웹,메뉴,판매상태,품절 표시,지점에서 특정 메뉴 또는 옵션을 품절 처리한다.,A: 메뉴 품절 / B: 옵션 품절,P0,1차,품절 처리 즉시 고객 주문 화면에서 선택 불가로 표시된다.,원본 43,추가
54,B-054,지점 관리자,관리자 웹,메뉴,판매상태,지점별 판매 가능 메뉴,본점 메뉴 중 지점에서 실제 판매 가능한 메뉴만 활성화한다.,A: 본점 공통 메뉴 / B: 지점 판매 메뉴,P1,2차,비활성화 메뉴는 해당 지점 키오스크에 노출되지 않는다.,지점별 재고/장비 차이 반영,추가
55,B-055,지점 관리자,관리자 웹,재고,조회,지점 재고 확인,"아이스크림, 용기, 토핑, 포장재, 드라이아이스 재고를 확인한다.",A: 메뉴 재고 / B: 부자재 재고,P1,2차,안전재고 미만 항목은 부족 표시가 뜬다.,부족한 메뉴 추가 요청과 연결,원본 45
56,B-056,지점 관리자,관리자 웹,재고,차감,주문 후 재고 자동 차감,주문 완료 또는 제조 완료 시 메뉴와 옵션 기준으로 재고를 차감한다.,A: 주문 시 차감 / B: 제조 완료 시 차감,P2,3차,재고가 0 이하가 되면 자동 품절 처리 또는 관리자 확인이 필요하다.,정확한 재고단위 설계 필요,추가
57,B-057,지점 관리자,관리자 웹,재고,신청,부족 재고 추가 신청,부족한 메뉴 또는 재료를 본점/물류에 신청한다.,A: 지점 신청 / B: 본점 승인,P1,2차,"신청 수량, 사유, 희망 입고일을 입력하고 처리 상태를 조회한다.",원본 오타 '베뉴' 정정,"원본 39, 45"
58,B-058,지점 관리자,관리자 웹,배달,관리,배달 주문 관리,"온라인 배달 주문의 접수, 제조, 배달 출발, 완료 상태를 관리한다.",A: 픽업 / B: 배달,P2,3차,배달 주문은 주소와 연락처 확인 후 처리된다.,키오스크와 분리,"원본 36, 46"
59,B-059,지점 관리자,관리자 웹,매출,조회,지점 매출 통계,"일/월/년 매출, 결제수단별 매출, 메뉴별 판매량을 조회한다.",A: 요약 통계 / B: 상세 통계,P1,2차,기간을 선택하면 해당 기간의 매출 합계와 주문 건수가 표시된다.,숫자 3자리 콤마 표시 권장,원본 49
60,B-060,지점 관리자,관리자 웹,지출,관리,지점 지출 관리,"임대료, 인건비, 재료비, 기타 지출을 입력해 손익을 확인한다.",A: 지출 입력 / B: 손익 계산,P2,3차,매출 - 지출 결과로 흑자/적자를 표시한다.,회계 기능은 과도하게 깊게 만들지 않아도 됨,원본 50
61,B-061,지점 관리자,관리자 웹,고용,직원,고용 인원 관리,"직원 목록, 연락처, 근무상태, 권한을 관리한다.",A: 직원 목록 / B: 직원 상세,P2,3차,개인정보는 권한 있는 관리자에게만 표시된다.,성별/나이 수집은 최소화 권장,"원본 47, 48"
62,B-062,지점 관리자,관리자 웹,상담,본점 문의,본점과의 상담,"지점이 본점에 메뉴, 재고, 운영 관련 문의를 보낸다.",A: 일반 문의 / B: 긴급 문의,P2,3차,문의 작성 후 답변 상태를 확인할 수 있다.,1대1 대화창,원본 44
63,B-063,지점 관리자,관리자 웹,공지,지점 공지,지점별 운영 공지,"영업시간 변경, 임시 휴무, 품절 안내 등 지점 공지를 등록한다.",A: 관리자 내부 공지 / B: 고객 노출 공지,P2,3차,고객 노출 공지는 승인 또는 기간 설정 후 표시된다.,운영성 추가,추가
64,H-064,본점 관리자,관리자 웹,계정,로그인,최고 관리자 로그인,본점 최고 관리자가 전체 시스템 관리 페이지에 로그인한다.,A: 본점 관리자 / B: 슈퍼 관리자,P0,1차,최고 관리자 권한만 지점 계정 생성과 전체 매출 조회가 가능하다.,최고 권한 로그인,원본 25
65,H-065,본점 관리자,관리자 웹,계정,생성,지점 계정 생성,신규 지점의 관리자 계정을 생성하고 초기 비밀번호를 발급한다.,A: 단일 생성 / B: 일괄 생성,P0,1차,생성된 계정은 최초 로그인 시 비밀번호 변경을 요구한다.,원본 '이미로 생성' → 임의 생성으로 정정,원본 26
66,H-066,본점 관리자,관리자 웹,권한,역할,권한 그룹 관리,"본점 관리자, 지점 관리자, 직원, 물류 담당자 권한을 관리한다.",A: 기본 권한 / B: 세부 권한,P1,2차,권한이 없는 메뉴 접근 시 차단된다.,보안 요구사항과 연결,추가
67,H-067,본점 관리자,관리자 웹,메뉴,등록,메뉴 추가,"신규 메뉴의 이름, 이미지, 설명, 가격, 카테고리, 옵션, 판매기간을 등록한다.",A: 단품 메뉴 / B: 옵션형 메뉴,P0,1차,필수 정보 누락 시 저장되지 않고 오류 메시지가 표시된다.,원본 27,추가
68,H-068,본점 관리자,관리자 웹,메뉴,수정,메뉴 수정,"메뉴 가격, 설명, 이미지, 옵션, 판매 상태를 수정한다.",A: 기본정보 수정 / B: 옵션·가격 수정,P0,1차,수정된 정보는 선택한 지점 또는 전체 지점에 반영된다.,변경 이력 저장 권장,원본 29
69,H-069,본점 관리자,관리자 웹,메뉴,삭제/비표시,메뉴 삭제 및 표시/비표시,메뉴를 완전 삭제하지 않고 비표시 또는 판매중지 상태로 관리한다.,A: 비표시 / B: 삭제,P0,1차,주문 이력이 있는 메뉴는 삭제 대신 비표시 처리한다.,"원본 28, 30 통합",추가
70,H-070,본점 관리자,관리자 웹,메뉴,카테고리,카테고리 관리,"카테고리 생성, 이름 수정, 노출 순서 변경, 사용 여부를 관리한다.",A: 기본 카테고리 / B: 관리자 정의 카테고리,P1,2차,카테고리 비활성화 시 해당 카테고리 메뉴는 고객 화면에서 숨김 처리된다.,원본 7 확장,추가
71,H-071,본점 관리자,관리자 웹,메뉴,할인,메뉴 할인 설정,할인율 또는 할인금액을 설정하고 적용 기간과 적용 지점을 선택한다.,A: 정액 할인 / B: 정률 할인,P1,2차,할인 기간이 끝나면 자동으로 정상가가 적용된다.,% 입력 시 적용,원본 31
72,H-072,본점 관리자,관리자 웹,이벤트,배너,이벤트/광고 배너 관리,"메인 배너, 키오스크 대기화면, 모바일 광고 이미지를 등록하고 기간별 노출한다.",A: 메인 배너 / B: 키오스크 배경,P1,2차,노출 시작일과 종료일을 기준으로 자동 표시/종료된다.,원본 32,추가
73,H-073,본점 관리자,관리자 웹,쿠폰,정책,쿠폰 캠페인 관리,"쿠폰명, 할인방식, 사용조건, 발급대상, 사용기간을 설정한다.",A: 전체 발급 / B: 회원 대상 발급,P2,3차,쿠폰 사용 조건을 만족하지 않으면 결제 전 적용되지 않는다.,쿠폰/적립과 연결,원본 10 확장
74,H-074,본점 관리자,관리자 웹,지점,정보,지점 상세 정보 관리,"지점명, 주소, 전화번호, 영업시간, 배달 가능 여부, 좌표를 관리한다.",A: 기본 정보 / B: 운영 정보,P0,1차,수정된 지점 정보는 고객의 지점 찾기 화면에 반영된다.,원본 33,추가
75,H-075,본점 관리자,관리자 웹,지점,지도,전체 지점 위치 조회,지도에서 전체 지점 위치와 운영상태를 확인한다.,A: 목록 / B: 지도,P2,3차,지도 마커 클릭 시 지점 상세 정보가 표시된다.,지도 API,원본 35
76,H-076,본점 관리자,관리자 웹,지점,매출,지점별 매출 비교,"전체 지점 매출, 기간별 매출, 전년/전월 대비 매출을 비교한다.",A: 지점 단일 조회 / B: 지점 비교 조회,P1,2차,기간과 지점을 선택하면 매출 비교표와 그래프가 표시된다.,원본 34,추가
77,H-077,본점 관리자,관리자 웹,물류,재고,메뉴/재료 재고 마스터,"본점 기준 메뉴, 재료, 포장재, 드라이아이스 품목을 관리한다.",A: 메뉴 재고 / B: 부자재 재고,P2,3차,품목별 기본 단위와 안전재고 기준을 설정할 수 있다.,원본 39 확장,추가
78,H-078,본점 관리자,관리자 웹,물류,신청,지점 재고 신청 승인,"지점에서 요청한 부족 재고 신청을 승인, 반려, 보류 처리한다.",A: 승인 / B: 반려,P2,3차,승인 결과가 지점 신청 목록에 반영된다.,물류회사 연계 전 내부 승인 기능,"원본 39, 45"
79,H-079,본점 관리자,관리자 웹,물류,연계,물류회사 발주 연계,승인된 재고 신청을 물류회사 발주 목록으로 전송하거나 CSV로 내보낸다.,A: 수동 발주 / B: API 연계,P2,3차,발주번호와 처리상태가 저장된다.,처음에는 CSV 다운로드로 구현 가능,원본 39
80,H-080,본점 관리자,관리자 웹,상담,지점상담,지점 상담 창구,"본점과 지점 간 운영, 재고, 배달, 매출 관련 상담 메시지를 관리한다.",A: 1대1 채팅 / B: 문의게시판,P2,3차,"문의 상태가 접수, 답변완료, 보류로 관리된다.",문의게시판 방식으로 시작 가능,"원본 37, 44 통합"
81,H-081,본점 관리자,관리자 웹,가맹,상담,개업 상담,예비 점주가 개업 상담을 신청하고 본점이 처리한다.,A: 상담 신청 / B: 관리자 처리,P2,3차,"상담 신청자 정보와 희망 지역, 문의내용이 저장된다.",가맹점 확장 기능,원본 38
82,H-082,본점 관리자,관리자 웹,고객,문의,통합 문의 관리,고객 문의를 본점 또는 지점 담당자에게 배정하고 답변한다.,A: 본점 처리 / B: 지점 이관,P2,3차,문의 배정 후 담당자가 답변하면 고객이 확인할 수 있다.,고객센터 확장 기능,원본 22 확장
83,H-083,본점 관리자,관리자 웹,콘텐츠,번역,다국어 번역 관리,"메뉴명, 설명, 카테고리명, 안내 문구의 다국어 번역을 관리한다.",A: 수동 번역 / B: 번역 누락 대체,P2,3차,번역이 등록된 언어는 고객 화면에 해당 언어로 표시된다.,다국어 고객 화면과 연결,원본 15 확장
84,H-084,본점 관리자,관리자 웹,정산,결제,결제 정산 관리,"결제수단별 매출, 수수료, 취소/환불 금액, 정산 예정 금액을 조회한다.",A: 매출 기준 / B: 정산 기준,P2,3차,기간별 정산 합계와 결제 건수를 확인할 수 있다.,PG 연동 시 필요,추가
85,H-085,본점 관리자,관리자 웹,약관,정책,이용약관/개인정보 처리방침 관리,"회원가입, 주문, 쿠폰, 개인정보 처리방침 내용을 관리한다.",A: 약관 등록 / B: 버전 관리,P2,3차,약관 변경 시 신규 동의가 필요한 항목을 표시한다.,회원 기능 사용 시 필요,추가
86,S-086,시스템,전체,보안,통신,HTTPS 적용,"관리자 페이지, 키오스크 API, PC/모바일 주문 API에 HTTPS를 적용한다.",A: 개발 HTTP / B: 운영 HTTPS,P1,2차,운영 환경에서 로그인·결제·개인정보 요청은 HTTPS로만 처리된다.,보안 2차 적용 항목,추가
87,S-087,시스템,전체,보안,인증,비밀번호 암호화,회원과 관리자 비밀번호는 BCrypt 등 단방향 해시로 저장한다.,A: 회원 / B: 관리자,P0,1차,DB에 비밀번호 원문이 저장되지 않는다.,Spring Security 권장,추가
88,S-088,시스템,전체,보안,인증,로그인 실패 횟수 제한,관리자 또는 회원 로그인 실패가 반복되면 일정 시간 계정을 잠금 처리한다.,A: 실패 횟수 제한 / B: CAPTCHA,P1,2차,정해진 횟수 이상 실패 시 잠금 또는 추가 인증이 요구된다.,아이디가 틀릴 때 횟수 제한,추가
89,S-089,시스템,전체,보안,권한,역할 기반 접근제어,"본점, 지점, 직원, 고객 권한에 따라 접근 가능한 API와 화면을 제한한다.",A: 화면 권한 / B: API 권한,P0,1차,권한 없는 사용자가 관리자 API를 호출하면 403으로 차단된다.,"ROLE_SUPER, ROLE_BRANCH 등",추가
